"","wind_1_coefficients","wind_2_coefficients","wind_3_coefficients","wind_1_coefficients_lower_CI","wind_1_coefficients_upper_CI","wind_2_coefficients_lower_CI","wind_2_coefficients_upper_CI","wind_3_coefficients_lower_CI","wind_3_coefficients_upper_CI","slides_1_coefficients","slides_2_coefficients","slides_3_coefficients","slides_1_coefficients_lower_CI","slides_1_coefficients_upper_CI","slides_2_coefficients_lower_CI","slides_2_coefficients_upper_CI","slides_3_coefficients_lower_CI","slides_3_coefficients_upper_CI"
"1",-9.85770503093665,-8.92482148133137,-36.8252080446388,-46.3875326992082,26.6721226373349,-38.1927740687057,20.343131106043,-130.381563706564,56.7311476172861,109.167870909128,82.2237141272799,238.243472166364,-57.3615341506133,275.69727596887,-43.31634590475,207.76377415931,-134.193204121145,610.680148453873
"2",-4.32284408728076,-8.92529100841232,-33.3244684528689,-41.2659358743016,32.6202476997401,-38.1930925730404,20.3425105562158,-124.435902203146,57.7869652974078,105.814392341548,82.2208258206106,268.16149759936,-58.3316172579595,269.960401941055,-43.3274216570119,207.769073298233,-90.141516644388,626.464511843109
"3",-7.09369590560082,-8.92736012654803,-31.1611890951808,-43.6475845003244,29.4601926891228,-38.1906584212482,20.3359381681521,-123.675617723023,61.3532395326615,130.11868030312,82.2723772975654,217.010226786986,-33.3371684578074,293.574529064047,-43.2653251261844,207.810079721315,-135.925951854475,569.946405428446
"4",-8.25707470057755,-8.92296971726606,-32.5418323996394,-46.8386283383604,30.3244789372053,-38.1877021023718,20.3417626678397,-123.378782646294,58.2951178470153,120.053269869713,82.256994618573,262.154847018594,-40.0907020333547,280.19724177278,-43.2916163050663,207.805605542212,-99.204397915425,623.514091952614
"5",-10.401101811657,-8.92845643765739,-37.9450091870884,-45.6715702182395,24.8693665949255,-38.191960293147,20.3350474178322,-128.77097275987,52.8809543856928,100.636371646035,82.2284318676798,212.60734448825,-57.5121506530173,258.784893945087,-43.3143987001765,207.771262435536,-134.906981115612,560.121670092112
"6",-14.2981381112982,-8.9319398395578,-40.1298002978258,-49.968777917634,21.3725016950376,-38.197729355315,20.3338496761993,-128.991717126182,48.7321165305303,106.143248077659,82.2276219703171,227.151319652734,-57.8589311485252,270.145427303843,-43.3225664389657,207.7778103796,-121.794571948807,576.097211254274
"7",-9.06174268201159,-8.92243812663848,-39.9593626221924,-45.6748523695481,27.5513670055249,-38.1911267050883,20.3462504518114,-129.895399723945,49.97667447956,124.633139906364,82.2426382985884,234.878737952175,-36.7481624681133,286.014442280841,-43.3177380385113,207.803014635688,-117.306817968253,587.064293872602
"8",-13.337022853702,-8.91485966378139,-28.8262975120905,-49.6301301697252,22.9560844623212,-38.1808957860293,20.3511764584665,-124.243020381289,66.5904253571083,101.466271815887,82.210580845317,215.741134995103,-53.7428319307897,256.675375562564,-43.3227390200732,207.743900710707,-167.922077552729,599.404347542936
"9",-9.04988555880291,-8.92892218051403,-32.0379630500841,-47.9689738449802,29.8692027273744,-38.194245024271,20.3364006632429,-115.472687688393,51.3967615882252,134.773059074998,82.2411846446437,220.436594568384,-37.4745321496437,307.020650299639,-43.3041092650187,207.786478554306,-108.577286677119,549.450475813887
"10",-9.26956524643488,-8.91883438640812,-39.2741246898184,-46.3411961960211,27.8020657031513,-38.1828584732861,20.3451897004698,-128.81750929768,50.2692599180436,107.282145664564,82.2658461547295,217.978184489847,-54.5158695603253,269.080160889454,-43.2857638547646,207.817456164224,-138.033484390112,573.989853369805
"11",-7.71120386568022,-8.92190798508404,-29.3722079284064,-46.456093487881,31.0336857565205,-38.1907831515403,20.3469671813722,-117.358347602399,58.613931745586,121.348816536726,82.2846491050247,229.28529235163,-52.8313786225558,295.529011696008,-43.2691373194167,207.838435529466,-129.894132143929,588.464716847189
